h1-h3 f8-i8 f10-i10 d6-d9 a8-c8 g7-j7 k8-j8xj7 f7-j7 h11-h8xi8 d9-j9xj8 f11-f9 g5-j5xj6 f2-j2 f4-c4 d1-c1 f5-i5 f1-f4 e5-e3 a4-a3 f6-f5 b6-b2 e3-f3xf4 g1-i1 i5-i8 k7-k9 g6-g8xh8 f9-i9xj9 j7-j9,3,4,Ongoing
g1-g2 d6-d3 a4-c4 f4-i4 k8-i8 g7-j7 f10-j10 g5-j5xj6 g2-j2 g6-g1 h1-i1 d3-k3 f2-h2 h6-h9 d11-d9 f6-g6 b6-b2,0,1,Ongoing
h1-h3 f4-i4 k8-i8 g5-g3 h3-i3 i4-c4 a4-b4 f5-j5 k4-j4xj5 f6-f3 d1-d3 f3-e3 b4-b3 c4-c3xd3 k5-k3 e3-e2 b3-b2 g3-g2xf2 a5-a3 c3-c1 a8-c8 d6-d1 j4-j2 e5-c5 i3-c3 e2-c2 c3-b3 g6-g3 g1-i1 e6-e3 d11-d9 f7-f2 h11-i11 h6-h1 f1-g1xh1 f2-f1xe1 b6-b5 c2-e2,2,3,White
d1-d3 h6-h3 h1-h2 g5-i5 k4-h4xh3 g6-g3 j6-j3 g7-g9 k8-k9 f6-j6 f10-j10 i5-i1 h4-i4 f5-i5 i4-i3 f4-k4 h2-i2 d6-d10 d3-d9xd10 i5-i11 k9-j9 f8-k8 j10-j11xi11 k8-k9 h11-h9 f7-f9 g11-g10 e7-e8 h9-i9 e6-h6 f11-i11 h6-h2 g1-g2xh2 j6-c6 f2-c2 c6-c9 b6-b9 e5-c5 g10-c10 e8-e9xd9 a4-g4xg3 e9-e3 a5-a3,5,1,Black
k8-i8 f4-i4 k4-j4 h6-h3 h1-h2 h3-k3 h11-h4xi4 g5-g2 e1-e3 g6-g3 f2-c2 f6-i6 k5-i5 g3-i3 j4-i4 i3-i2xh2 k7-i7 i6-g6 e3-g3xg2 g7-g10 i8-g8 e7-e10xf10 a8-e8xf8 g6-h6 i7-h7 g10-h10 g8-h8 f5-f3 f1-f2 h6-g6 g11-g8 k3-h3xg3 i4-i3 g6-g2 j6-j2 e5-e2xf2 g1-i1xi2 f3-b3 a4-a3 g2-g5 j2-h2xh3 g5-b5 h4-b4 f7-b7xb6 e8-b8 b5-c5 h7-c7xb7 c5-b5xb4 c2-b2 b5-f5 f11-f8 e6-e9 c7-c9 f5-f7 h8-h7 e9-f9xf8 d11-d10 f9-e9 i5-i10 f7-f11 i10-i11 h10-j10 g8-g11 e10-h10 g11-h11 f11-f8 h7-h8 d6-i6 a5-g5 f8-g8 h8-j8,6,7,Ongoing
d1-d3 f8-i8 d11-d9 e7-e10 f10-i10 f7-c7 e11-c11 e10-b10 a8-a10 f6-f10 c11-c10xb10 f10-d10 d9-b9 d10-d11 c10-c11 d11-d9 j6-j9 e5-b5 a4-b4xb5 c7-c2 b4-b2 d9-c9 a5-c5 c9-c6 e1-c1 c2-c4xc5 d3-a3 f5-b5 b2-b4xb5 e6-e2 b4-b2 g5-g2xf2 k4-k2 g2-j2 g1-g2 c4-c3 k5-k3 i8-i2 h1-i1 c3-i3 f1-h1 c6-c5 k6-k4 c5-h5 f11-f5 f4-i4 f5-f2 h5-b5 b6-b8 g6-g3 k7-k5 b5-j5 h1-h2 i3-j3 j9-j7 e2-e9 h11-h9 g7-g8 i10-i8 g8-g10 h9-g9xg10 h6-h10 g11-h11 h10-i10 h11-i11 i10-j10 g9-j9 j10-h10 i8-i10 h10-h5 a10-e10 e9-e6,4,2,Ongoing
d11-d9 d6-d3 h1-h3 h6-h9 k8-i8 g7-j7 k5-j5 j7-j10 k4-i4 f8-c8 a4-c4 f7-i7 j6-j9 h9-i9xi8 j5-j8 i9-i11 f10-f8 g6-g9 e11-e9 c8-c11 a7-c7 f6-h6 g11-g10 g5-g8 h11-h8xg8 i11-g11xg10 f11-f10 h6-h7 d9-d11 g9-h9xh8 f8-h8 h9-g9 f10-i10 g9-h9xh8 k7-k10xj10 g11-e11xd11 b6-d6xe6 h7-g7 d6-d10 g7-g11 i10-i11 g11-g10 k10-j10 g10-e10 e9-b9 c11-c10xd10 a8-a10 e10-d10 a6-a9 d10-d11,3,6,White
d1-d3 h6-h3 k8-i8 g7-g9 h11-h9 f4-c4 e1-e3 e7-b7 a8-b8xb7 e6-e10 d11-d10xe10 f6-e6 e11-e9 e5-b5 a4-b4xb5 f5-b5 d3-d4xc4 e6-e4 a7-c7 e4-j4 f2-j2 h3-k3 f1-f2 g5-c5 b4-c4 g6-g3 g1-g2 f7-h7 d4-g4xg3 g9-g7 k7-i7 h7-h6 b6-c6xc5 j4-h4 f2-f4 d6-d2 g2-i2 d2-g2 c6-c5xb5 f8-f5 c5-e5 k3-f3xf4 c4-f4xf5 h4-h2 d10-d2 g2-f2 g4-g3xf3 h2-g2 a6-g6 g7-e7 j6-i6xh6 g2-g1 c7-c1 e7-d7 c1-f1 f2-e2 f4-f2xe2,11,1,Black
d1-d3 f4-c4 a4-b4 e5-c5 a7-c7 c4-c2 b4-b2 f5-d5 k4-h4 c2-c1 h1-h3 f6-f4 b6-b4 f4-c4 a5-a3 c4-c2 b4-b3 c1-d1 a3-a2 c2-c1 b2-b1 c1-c4 b1-c1xd1 c4-a4 b3-a3 a4-b4,1,0,White
d1-d3 f4-c4 e1-c1 e5-e1 b6-b2 f8-b8 k8-c8xb8 d6-d9 a8-a9 h6-h8 k7-k9 g5-i5 d3-i3 g6-g3 a4-a3 f5-b5 f10-b10 c4-j4 f2-j2 h8-h2 k4-k3 f6-i6 h11-i11 e6-b6 c8-c6xb6 e7-c7 d11-c11 g7-g10 j6-j10,2,0,Black
